iter	Passed	Remaining
1125	11017	28120
1126	11027	28112
1127	11037	28102
1128	11048	28096
1129	11060	28092
1130	11070	28083
1131	11081	28075
1132	11091	28067
1133	11103	28061
1134	11112	28051
1135	11121	28037
1136	11129	28025
1137	11139	28014
1138	11150	28009
1139	11162	28003
1140	11174	27998
1141	11184	27991
1142	11194	27980
1143	11203	27969
1144	11212	27956
1145	11223	27950
1146	11232	27939
1147	11241	27928
1148	11253	27922
1149	11262	27911
1150	11271	27900
1151	11281	27889
1152	11290	27879
1153	11299	27866
1154	11308	27856
1155	11317	27844
1156	11328	27837
1157	11338	27826
1158	11347	27815
1159	11357	27805
1160	11366	27794
1161	11376	27785
1162	11385	27772
1163	11392	27756
1164	11402	27747
1165	11412	27737
1166	11421	27727
1167	11429	27713
1168	11440	27706
1169	11452	27700
1170	11461	27689
1171	11469	27676
1172	11477	27662
1173	11484	27644
1174	11495	27637
1175	11505	27628
1176	11515	27619
1177	11524	27607
1178	11533	27595
1179	11542	27585
1180	11553	27577
1181	11563	27568
1182	11571	27555
1183	11582	27547
1184	11593	27541
1185	11602	27528
1186	11612	27520
1187	11623	27512
1188	11632	27502
1189	11643	27494
1190	11652	27482
1191	11661	27471
1192	11672	27463
1193	11682	27455
1194	11693	27447
1195	11705	27443
1196	11716	27437
1197	11727	27429
1198	11738	27421
1199	11748	27414
1200	11758	27403
1201	11768	27394
1202	11777	27383
1203	11787	27373
1204	11797	27363
1205	11807	27355
1206	11819	27350
1207	11828	27338
1208	11835	27322
1209	11845	27312
1210	11857	27307
1211	11865	27294
1212	11874	27283
1213	11884	27273
1214	11892	27260
1215	11902	27251
1216	11912	27242
1217	11922	27231
1218	11928	27212
1219	11937	27201
1220	11946	27191
1221	11956	27181
1222	11966	27171
1223	11975	27161
1224	11985	27151
1225	11995	27140
1226	12005	27133
1227	12016	27126
1228	12028	27120
1229	12039	27113
1230	12048	27102
1231	12059	27094
1232	12070	27087
1233	12079	27075
1234	12090	27069
1235	12099	27056
1236	12110	27049
1237	12118	27037
1238	12129	27028
1239	12138	27017
1240	12147	27005
1241	12157	26997
1242	12168	26989
1243	12180	26984
1244	12191	26978
1245	12201	26968
1246	12212	26960
1247	12219	26945
1248	12229	26936
1249	12240	26928
1250	12246	26911
1251	12255	26899
1252	12266	26891
1253	12273	26877
1254	12284	26869
1255	12294	26859
1256	12304	26851
1257	12312	26836
1258	12321	26825
1259	12331	26815
1260	12341	26806
1261	12350	26794
1262	12359	26784
1263	12370	26776
1264	12381	26769
1265	12391	26759
1266	12401	26751
1267	12411	26741
1268	12417	26723
1269	12426	26712
1270	12436	26703
1271	12447	26695
1272	12456	26683
1273	12466	26674
1274	12475	26663
1275	12485	26653
1276	12494	26643
1277	12504	26632
1278	12516	26627
1279	12526	26618
1280	12536	26609
1281	12545	26598
1282	12555	26588
1283	12566	26580
1284	12575	26570
1285	12585	26560
1286	12594	26550
1287	12603	26537
1288	12612	26526
1289	12619	26510
1290	12630	26504
1291	12640	26494
1292	12649	26483
1293	12659	26473
1294	12667	26460
1295	12678	26452
1296	12688	26443
1297	12699	26436
1298	12711	26430
1299	12723	26425
1300	12732	26415
1301	12742	26404
1302	12750	26392
1303	12759	26380
1304	12769	26369
1305	12779	26362
1306	12788	26349
1307	12798	26339
1308	12807	26329
1309	12818	26322
1310	12827	26310
1311	12838	26303
1312	12847	26292
1313	12857	26283
1314	12866	26270
1315	12875	26259
1316	12886	26251
1317	12895	26241
1318	12906	26233
1319	12915	26222
1320	12924	26211
1321	12935	26203
1322	12945	26193
1323	12956	26186
1324	12967	26179
1325	12975	26167
1326	12987	26160
1327	12995	26148
1328	13007	26142
1329	13014	26127
1330	13025	26120
1331	13035	26109
1332	13045	26101
1333	13054	26089
1334	13065	26081
1335	13073	26067
1336	13082	26056
1337	13092	26047
1338	13103	26039
1339	13112	26028
1340	13122	26020
1341	13133	26012
1342	13144	26004
1343	13151	25989
1344	13162	25982
1345	13170	25969
1346	13178	25955
1347	13188	25946
1348	13197	25935
1349	13208	25927
1350	13215	25913
1351	13226	25905
1352	13236	25895
1353	13247	25888
1354	13258	25880
1355	13267	25870
1356	13279	25863
1357	13289	25855
1358	13300	25847
1359	13311	25840
1360	13320	25829
1361	13327	25813
1362	13337	25804
1363	13346	25792
1364	13356	25783
1365	13366	25774
1366	13376	25764
1367	13386	25755
1368	13397	25747
1369	13408	25740
1370	13417	25728
1371	13426	25718
1372	13438	25711
1373	13447	25701
1374	13458	25694
1375	13470	25687
1376	13477	25673
1377	13486	25661
1378	13492	25645
1379	13503	25637
1380	13515	25631
1381	13526	25623
1382	13534	25610
1383	13543	25599
1384	13552	25588
1385	13561	25577
1386	13573	25570
1387	13583	25562
1388	13591	25549
1389	13599	25535
1390	13610	25528
1391	13620	25518
1392	13631	25510
1393	13640	25499
1394	13649	25488
1395	13659	25480
1396	13669	25469
1397	13681	25463
1398	13690	25453
1399	13700	25443
1400	13710	25434
1401	13721	25426
1402	13730	25416
1403	13740	25407
1404	13751	25399
1405	13763	25392
1406	13770	25378
1407	13779	25367
1408	13789	25356
1409	13796	25342
1410	13806	25333
1411	13817	25325
1412	13825	25312
1413	13835	25302
1414	13844	25292
1415	13854	25282
1416	13861	25267
1417	13870	25256
1418	13881	25248
1419	13891	25238
1420	13900	25228
1421	13912	25221
1422	13921	25212
1423	13931	25202
1424	13941	25192
1425	13952	25185
1426	13961	25174
1427	13970	25162
1428	13980	25153
1429	13990	25143
1430	14001	25135
1431	14009	25122
1432	14019	25113
1433	14028	25102
1434	14039	25094
1435	14048	25084
1436	14059	25076
1437	14070	25068
1438	14076	25052
1439	14085	25041
1440	14095	25031
1441	14106	25024
1442	14116	25014
1443	14127	25006
1444	14138	24998
1445	14148	24989
1446	14158	24981
1447	14166	24967
1448	14173	24952
1449	14182	24941
1450	14191	24931
1451	14202	24922
1452	14212	24913
1453	14222	24904
1454	14233	24896
1455	14241	24883
1456	14247	24866
1457	14257	24857
1458	14265	24845
1459	14275	24835
1460	14285	24826
1461	14296	24817
1462	14305	24807
1463	14315	24798
1464	14324	24786
1465	14335	24778
1466	14343	24765
1467	14355	24760
1468	14364	24750
1469	14374	24739
1470	14384	24730
1471	14394	24720
1472	14402	24708
1473	14412	24698
1474	14423	24690
1475	14432	24680
1476	14443	24671
1477	14449	24656
1478	14457	24642
1479	14465	24631
1480	14475	24621
1481	14486	24613
1482	14493	24598
1483	14504	24590
1484	14513	24579
1485	14523	24570
1486	14533	24561
1487	14544	24553
1488	14554	24543
1489	14562	24532
1490	14572	24521
1491	14583	24513
1492	14593	24504
1493	14605	24498
1494	14615	24489
1495	14623	24477
1496	14632	24466
1497	14641	24455
1498	14651	24445
1499	14661	24436
1500	14673	24429
1501	14682	24419
1502	14691	24408
1503	14702	24399
1504	14714	24393
1505	14727	24388
1506	14736	24377
1507	14747	24370
1508	14757	24361
1509	14768	24354
1510	14780	24347
1511	14791	24338
1512	14798	24324
1513	14808	24315
1514	14819	24307
1515	14831	24301
1516	14842	24293
1517	14851	24282
1518	14863	24277
1519	14873	24267
1520	14883	24257
1521	14894	24250
1522	14904	24240
1523	14914	24231
1524	14920	24214
1525	14931	24208
1526	14942	24200
1527	14952	24189
1528	14960	24177
1529	14972	24170
1530	14983	24163
1531	14995	24157
1532	15006	24149
1533	15016	24140
1534	15029	24134
1535	15040	24126
1536	15051	24119
1537	15064	24114
1538	15075	24106
1539	15086	24099
1540	15094	24086
1541	15105	24078
1542	15114	24067
1543	15127	24062
1544	15135	24051
1545	15147	24044
1546	15156	24032
1547	15167	24025
1548	15177	24015
1549	15186	24005
1550	15197	23996
1551	15207	23986
1552	15218	23979
1553	15229	23970
1554	15239	23962
1555	15247	23949
1556	15255	23936
1557	15265	23927
1558	15274	23916
1559	15286	23909
1560	15297	23901
1561	15306	23891
1562	15317	23883
1563	15329	23876
1564	15340	23867
1565	15350	23858
1566	15360	23849
1567	15370	23840
1568	15381	23832
1569	15393	23826
1570	15402	23814
1571	15413	23806
1572	15423	23796
1573	15433	23788
1574	15443	23778
1575	15454	23770
1576	15464	23760
1577	15474	23750
1578	15483	23740
1579	15493	23730
1580	15504	23722
1581	15515	23715
1582	15526	23706
1583	15535	23695
1584	15545	23686
1585	15557	23678
1586	15564	23665
1587	15575	23657
1588	15586	23648
1589	15595	23638
1590	15605	23629
1591	15615	23619
1592	15624	23607
1593	15633	23597
1594	15644	23589
1595	15654	23579
1596	15663	23569
1597	15674	23561
1598	15685	23552
1599	15696	23544
1600	15706	23535
1601	15717	23526
1602	15728	23518
1603	15739	23511
1604	15750	23503
1605	15761	23495
1606	15770	23484
1607	15781	23475
1608	15789	23463
1609	15797	23451
1610	15808	23443
1611	15818	23432
1612	15829	23425
1613	15838	23414
1614	15848	23404
1615	15857	23394
1616	15868	23385
1617	15879	23377
1618	15888	23367
1619	15898	23357
1620	15908	23347
1621	15917	23336
1622	15926	23325
1623	15937	23317
1624	15948	23309
1625	15955	23295
1626	15966	23286
1627	15975	23275
1628	15985	23266
1629	15995	23257
1630	16006	23248
1631	16017	23240
1632	16024	23226
1633	16035	23218
1634	16042	23205
1635	16053	23196
1636	16062	23186
1637	16072	23177
1638	16084	23169
1639	16093	23159
1640	16103	23149
1641	16114	23140
1642	16125	23133
1643	16136	23124
1644	16146	23115
1645	16156	23105
1646	16166	23095
1647	16174	23084
1648	16183	23073
1649	16193	23062
1650	16203	23053
1651	16214	23045
1652	16224	23035
1653	16231	23021
1654	16238	23008
1655	16249	23000
1656	16258	22988
1657	16267	22978
1658	16277	22969
1659	16289	22961
1660	16298	22951
1661	16308	22941
1662	16317	22930
1663	16327	22921
1664	16335	22909
1665	16345	22899
1666	16355	22889
1667	16366	22881
1668	16375	22871
1669	16385	22860
1670	16396	22853
1671	16407	22844
1672	16414	22831
