iter	Passed	Remaining
777	16306	25612
778	16327	25591
779	16357	25584
780	16382	25569
781	16401	25546
782	16422	25524
783	16444	25505
784	16465	25484
785	16491	25470
786	16512	25451
787	16534	25431
788	16554	25408
789	16578	25392
790	16601	25374
791	16618	25347
792	16632	25315
793	16654	25295
794	16670	25267
795	16693	25250
796	16718	25235
797	16733	25205
798	16756	25187
799	16776	25164
800	16798	25145
801	16812	25113
802	16831	25089
803	16856	25074
804	16878	25056
805	16894	25028
806	16912	25001
807	16937	24986
808	16963	24973
809	16988	24957
810	17010	24939
811	17031	24918
812	17051	24895
813	17078	24882
814	17104	24870
815	17126	24850
816	17154	24839
817	17176	24819
818	17196	24797
819	17222	24783
820	17246	24766
821	17268	24747
822	17293	24731
823	17316	24713
824	17343	24701
825	17365	24681
826	17386	24661
827	17407	24639
828	17430	24621
829	17448	24596
830	17469	24574
831	17488	24551
832	17507	24527
833	17524	24500
834	17543	24476
835	17557	24446
836	17580	24427
837	17600	24405
838	17625	24390
839	17647	24370
840	17669	24351
841	17690	24329
842	17718	24317
843	17736	24293
844	17764	24282
845	17787	24263
846	17811	24246
847	17831	24223
848	17855	24206
849	17875	24184
850	17891	24157
851	17904	24124
852	17929	24108
853	17947	24084
854	17967	24061
855	17987	24038
856	18006	24016
857	18025	23992
858	18039	23961
859	18069	23952
860	18087	23927
861	18115	23916
862	18137	23896
863	18156	23872
864	18183	23859
865	18204	23838
866	18228	23820
867	18255	23807
868	18275	23785
869	18297	23765
870	18315	23741
871	18336	23720
872	18373	23719
873	18397	23702
874	18416	23678
875	18441	23662
876	18465	23644
877	18495	23635
878	18515	23612
879	18544	23601
880	18567	23583
881	18589	23563
882	18612	23545
883	18640	23532
884	18666	23518
885	18688	23497
886	18721	23491
887	18747	23476
888	18763	23448
889	18788	23432
890	18813	23416
891	18839	23401
892	18868	23390
893	18887	23366
894	18911	23349
895	18938	23335
896	18960	23314
897	18986	23300
898	19010	23281
899	19036	23266
900	19062	23252
901	19090	23239
902	19115	23221
903	19137	23201
904	19162	23185
905	19187	23168
906	19213	23153
907	19231	23128
908	19248	23102
909	19270	23081
910	19303	23075
911	19329	23059
912	19356	23045
913	19386	23035
914	19421	23029
915	19453	23021
916	19480	23006
917	19506	22990
918	19529	22972
919	19549	22949
920	19580	22939
921	19601	22918
922	19619	22893
923	19647	22880
924	19671	22861
925	19694	22841
926	19719	22825
927	19742	22805
928	19766	22787
929	19796	22776
930	19813	22750
931	19845	22741
932	19865	22718
933	19881	22691
934	19904	22672
935	19920	22644
936	19949	22631
937	19971	22611
938	19992	22590
939	20020	22575
940	20041	22554
941	20061	22531
942	20083	22511
943	20115	22501
944	20133	22476
945	20153	22454
946	20178	22437
947	20205	22422
948	20225	22399
949	20248	22379
950	20269	22357
951	20287	22333
952	20314	22318
953	20335	22296
954	20356	22274
955	20385	22261
956	20409	22243
957	20428	22219
958	20456	22206
959	20477	22183
960	20499	22163
961	20522	22143
962	20546	22125
963	20565	22102
964	20582	22076
965	20603	22053
966	20624	22031
967	20650	22015
968	20673	21996
969	20700	21980
970	20721	21959
971	20738	21933
972	20760	21912
973	20778	21888
974	20802	21869
975	20821	21845
976	20848	21830
977	20875	21814
978	20896	21793
979	20918	21772
980	20943	21754
981	20972	21741
982	20998	21724
983	21016	21699
984	21040	21680
985	21065	21663
986	21083	21638
987	21115	21628
988	21137	21607
989	21155	21583
990	21177	21561
991	21199	21541
992	21218	21518
993	21242	21498
994	21266	21479
995	21283	21454
996	21301	21429
997	21322	21407
998	21348	21391
999	21365	21365
1000	21391	21348
1001	21419	21334
1002	21437	21308
1003	21454	21283
1004	21482	21269
1005	21499	21242
1006	21521	21221
1007	21546	21204
1008	21574	21189
1009	21604	21176
1010	21628	21158
1011	21647	21134
1012	21670	21114
1013	21690	21091
1014	21707	21065
1015	21726	21042
1016	21741	21015
1017	21774	21004
1018	21788	20975
1019	21810	20955
1020	21836	20938
